id,timestamp,source_ip,source_country,target_country,source_lat,source_lon,target_lat,target_lon,attack_type,severity,device_type
bbb60163-6b7f-4ee9-bfaa-cfc909f7b0fa,2026-03-10T00:48:27,46.209.110.166,Saudi Arabia,Ukraine,23.4632,45.1108,48.9088,32.9264,Ransomware,High,Database
c6292351-8280-429e-8338-fc06ab639ac2,2026-03-09T16:06:26,1.147.49.55,Australia,Saudi Arabia,-25.9929,131.8833,23.6539,45.8115,XSS,Low,Mobile
89e0a64d-9f7c-41d3-8a61-915cc6857c82,2026-03-09T14:17:04,49.105.84.101,Indonesia,Ukraine,-2.3374,115.4024,49.8515,30.8781,Brute Force,Medium,Mobile
6f7a766d-99e4-4e8c-954c-c195f13f1f4d,2026-03-09T14:13:55,1.85.227.32,Indonesia,Israel,-2.2745,114.9699,29.8286,32.9333,Zero Day,High,Database
2c6abdf6-f012-4c9b-86d8-d879866dd4ca,2026-03-09T13:45:48,5.14.180.149,Saudi Arabia,USA,25.0081,44.0874,36.1888,-94.7028,Brute Force,Low,IoT Device
0bd3b25b-7b8b-4b46-a33c-243591e15a66,2026-03-09T11:40:33,210.23.216.23,North Korea,South Korea,41.9164,128.9698,36.1883,126.0088,Brute Force,Medium,Mobile
4275e1bb-19c4-4c4d-8622-6868aeb5dc8e,2026-03-09T10:18:28,5.116.230.121,Ukraine,Iran,46.6613,32.295,33.9633,51.8458,DDoS,Medium,Workstation
85179a9c-33d7-4b51-ba91-b7f380cfbb2d,2026-03-09T08:31:00,41.34.133.250,Nigeria,India,9.0571,8.3188,21.4154,79.9946,SQL Injection,Critical,Router
574d14b4-d93f-451b-bf80-35d2865d4c7a,2026-03-09T08:13:57,5.119.41.13,Iran,North Korea,30.7353,53.6258,42.0371,126.5515,Zero Day,High,IoT Device
e29af3db-a7e2-42a2-bdb3-2b9aaae309a7,2026-03-09T07:31:27,177.199.34.65,Brazil,Japan,12.4543,-52.9872,37.6757,137.9309,Ransomware,High,Database
66cfe51e-2daa-448a-9a84-ff26f61528b1,2026-03-09T06:55:06,58.231.36.23,South Korea,Russia,34.6286,126.1551,61.256,106.4204,XSS,Medium,Router
42789135-1d62-49b0-9424-f645fd937569,2026-03-09T05:51:28,5.215.215.203,Russia,Argentina,61.06,107.1802,-36.5344,-62.6017,Zero Day,High,IoT Device
28cd09ad-c0ba-45f1-989c-5af52f887117,2026-03-09T05:35:41,175.154.21.73,North Korea,Saudi Arabia,38.4433,128.8187,23.0371,43.1968,Phishing,High,Router
a277c8bf-cfc4-48f2-9cb3-1a879f5dca1f,2026-03-09T01:52:22,175.68.185.32,North Korea,Argentina,40.0075,126.1664,-38.5958,-65.4871,Ransomware,Critical,Database
53e0e61e-cf37-4b26-bb0d-e04ed200667b,2026-03-08T19:48:49,14.147.185.89,Indonesia,Germany,0.5182,113.0544,50.0545,11.7412,Zero Day,Critical,Server
6f773756-f9ec-4ec9-8129-513c904c63c6,2026-03-08T15:36:30,179.92.58.253,Argentina,Russia,-39.4096,-62.8964,61.7521,103.8182,Phishing,Medium,Database
734f40e4-eebb-4570-96bf-401760e59d78,2026-03-08T14:49:39,46.171.179.140,Israel,Japan,30.7676,35.6778,36.0116,138.4101,Zero Day,Critical,Router
e3eb42c0-4a91-4383-a6bd-3ec9fe1f30ba,2026-03-08T11:11:30,31.198.183.19,Turkey,South Korea,38.8464,36.7358,36.4439,129.5962,DDoS,High,Database
a351d198-618f-48c9-a44b-b25147caf802,2026-03-08T08:11:28,49.95.63.81,Pakistan,Turkey,30.7801,70.8475,39.595,34.0668,DDoS,Medium,Firewall
81216b56-84b2-4aa5-a8fb-865f98fdbf08,2026-03-08T04:57:41,46.62.227.144,Russia,Pakistan,61.9501,103.6715,32.2154,70.1494,SQL Injection,High,Database
689baf40-e83a-45d4-837d-46a3a5c2d0b7,2026-03-07T18:03:41,179.99.20.171,Brazil,USA,13.6057,-53.5699,36.2671,-95.0596,DDoS,High,Firewall
74ef7db5-958d-4fe3-bc1f-df8f6bf723eb,2026-03-07T17:47:52,72.164.168.60,USA,China,37.0733,-94.8177,34.3109,104.8033,Brute Force,Medium,Workstation
46dc45b5-2067-409d-a7c4-901fe45c0897,2026-03-07T17:43:08,49.213.72.4,Japan,South Africa,37.1807,136.4358,-29.1473,24.8926,Ransomware,Critical,Firewall
4f284a16-533b-43eb-8532-6624f2b70fc6,2026-03-07T13:16:14,194.95.101.20,France,USA,44.7498,3.6975,37.5925,-96.7973,DDoS,Medium,Workstation
6240baaa-08fb-4eae-b4c6-570bca795bb9,2026-03-07T12:34:43,1.134.58.29,Iran,North Korea,31.7289,53.0116,41.5491,126.8415,Zero Day,Critical,Mobile
28fdac2a-2b04-4ba9-9e53-5f1c75f90816,2026-03-07T01:29:23,45.22.109.232,Brazil,Mexico,13.5945,-52.7474,21.7864,-104.1082,Zero Day,High,IoT Device
3e990c2a-681c-4fac-b143-8cf0a49f16bd,2026-03-06T20:30:41,31.36.193.30,Saudi Arabia,Indonesia,24.5857,44.4088,0.993,113.7997,SQL Injection,Critical,Database
551819fa-6c09-471d-94e5-d23fb99fe130,2026-03-06T17:00:32,154.158.226.56,South Africa,USA,-29.32,23.044,35.482,-95.7227,Ransomware,High,Server
a66c6377-5ee8-4bff-9e23-24b90828e752,2026-03-06T10:58:25,45.254.131.188,Mexico,Japan,22.7867,-104.1615,34.3432,140.0108,Brute Force,Low,Database
7bdc824f-c4b5-4c02-a5f8-a871e3f0db02,2026-03-06T06:33:15,27.205.152.42,China,Saudi Arabia,35.5176,103.073,22.6182,44.8107,DDoS,High,IoT Device
0fb0b4cb-e74e-4c46-9663-d628108b3c57,2026-03-05T22:34:42,105.8.72.162,Nigeria,Canada,9.3733,7.525,54.3562,-106.2328,Zero Day,Critical,Database
a5ff626f-347b-401e-bad5-77a9a85c28c1,2026-03-05T17:24:42,105.21.251.19,Nigeria,Brazil,7.6507,9.2398,14.8595,-53.3654,Brute Force,Medium,Router
07420b22-6488-47e3-ba5a-640eb66ce0af,2026-03-05T15:36:13,59.108.230.158,India,USA,20.2785,78.298,37.6022,-94.7775,Ransomware,Critical,Server
b61a5551-d06e-4c02-9f52-b89d96a54e77,2026-03-05T15:12:08,31.237.228.229,Ukraine,UK,48.4703,32.4179,56.7498,-1.9709,Ransomware,Critical,Workstation
d2c00a16-5ca8-4744-96d5-fb8b4d45d772,2026-03-05T13:39:51,179.52.18.72,Mexico,North Korea,25.4502,-103.5503,40.1431,129.233,SQL Injection,Critical,Mobile
3122d254-eb4e-4698-9b31-42e7ad5a959f,2026-03-05T12:01:00,31.144.132.70,Russia,Iran,61.927,105.8649,31.8689,53.0624,Ransomware,High,IoT Device
c2dab075-570e-4ba4-8756-ffaa429f70e5,2026-03-05T05:47:37,175.188.180.163,North Korea,South Africa,39.5975,129.2045,-29.2433,21.1534,Zero Day,Critical,Server
f11a310a-597d-42be-b20f-237a8c1f6930,2026-03-05T02:21:01,46.44.245.171,Israel,France,30.6811,33.6971,47.6089,3.7525,SQL Injection,High,Mobile
a98c820d-9813-46a8-b7a6-e515814fb500,2026-03-05T00:48:59,81.218.94.252,UK,China,56.1046,-4.5884,37.315,104.1102,SQL Injection,High,Firewall
864d2b71-4723-4a22-b7b2-f6fffd08a1b2,2026-03-05T00:01:40,31.190.177.91,Iran,Japan,31.8734,52.8879,36.2815,139.4019,Phishing,Medium,Mobile
17ff935d-729d-4415-a88b-da521ff8ba8e,2026-03-04T22:26:14,179.99.44.215,Argentina,Indonesia,-39.8726,-61.9932,-2.3195,113.0079,Zero Day,High,Router
8dadbba4-8684-40f2-a789-230d1699f35e,2026-03-04T13:25:32,27.27.246.29,India,Australia,20.3267,78.0462,-24.2746,135.5668,Zero Day,High,IoT Device
